label;claude_sent;gpt_sent;gpt_sent_2;lyrics
relaxed;;Positive Emotions;Positive Sentiments;"I don't know why but I'm feeling so sad
I long to try something I never had
Never had no kissin'
Oh, what I've been missin'
Lover man, oh, where can you be?
The night is cold and I'm so alone
I'd give my soul just to call you my own
Got a moon above me
But no one to love me
Lover man, oh, where can you be?
I've heard it said
That the thrill of romance
Can be like a heavenly dream
I go to bed with a prayer
That you'll make love to me
Strange as it seems
Someday we'll meet
And you'll dry all my tears
Then whisper sweet
Little things in my ear
Hugging and a-kissing
Oh, what I've been missing
Lover man, oh, where can you be?"
mystical;Quirky/Unconventional;;Complex and Mysterious;"It seems like everyday is the same day
There's nothing worth believing
There's no one to believe in
It feels like everyday is fading
Slowly suffocating
In your world
It seems like everyday is the same day
There's no one to believe in
There's nothing worth believing
It feels like everyday I'm fading
I'm slowly suffocating
In your world
Plastic bullets
In a bag by the river
Summer is like water
Frozen in the winter
When you find me
Will you tell me
I'm not angry
And I'm sorry
When you find me
Will you find me too
Now that I'm gone
Just a little bit longer you'll be safe for awhile
Just a little bit further and I'll meet you there
Took a step backward and then I fell in a hole
Look around and all I can see is eyes
Plastic bullets
In a bag by the river
Sometimes I'm like water
Frozen in the river
When you find me
Will you tell me
I'm not angry
And I'm sorry
When you find me
Will you find me too
People believe in
Stories from the book
Feeling is believing
When all your faith is gone
Seeing, feeling
Breathing, fading
Someone's calling, my name ever softly
Plastic bullets
In a bag by the river
People are like water
Floating down the river"
poignant;Pensive/Emotional;;;"We'll remember when that wreath is just a crown of thorns
To drape around your helmet - hide out anywhere at all
We'll remember when you're no more than a poem on a grave -
A sideline for the guy who writes the birthday cards but never signs his name
He's got your number, feels your pain...
Though you're smiling from the mantel-piece
And you've got your rifle trained
It's pointing at the T.V. Shall we tell you when to fire?
There's a programme we all hate... it's not a late show so you won't be tired
We remember how you loved the war films
And hid behind the sofa throwing balls of silver paper
We remember. We remember. We've got our poppies on
We hear the clock chime out eleven. We remember, we remember it's Poppy Day
(You shall not grow old!)"
introspective;Pensive/Emotional;Calm and Peaceful;Complex and Mysterious;"I just reached a place
Where the willow don’t bend
There’s not much more to be said
It’s the time for the end
I’m going
I’m going
I’m gone
I’m closing the book
On the pages and the text
And I don’t really care
What happens next
I’m going
I’m going
I’m gone
I been hanging on the steps
And I've been playing it straight
But I just gotta go
Before it gets late
I’m going
I’m going
I’m gone
Elmo said, “Boy, don't follow your heart
I knew you'd be fine at the end of the line
And all that’s gold doesn't shine
Don’t you and your one true love ever part”
I been walking the room
And I've been living on the edge
And I just gotta cut loose
Before I get to the ledge
I’m going
I’m going
I’m all gone"
intimate;;;Calm and Peaceful;"Little one, you wanted a sound
You wanted to hold on to another
Soon before you can tell
You will be swallowed up into
'Cause I'm aware we've been waiting here
Where we've been for years
You will wander around
Alone in the house we both abandoned
To measure our hopes with our hearts
Hearts with our hands, we've taught them language
Yeah, we've been waiting here
Where we've been for years
I know you'll be back again
But I am alone till then
No one can understand
I've done a foolish thing
And carry a need to remind you of the terrible state I'm in
Till you come home
Little one, you wanted a sound
You wanted to hold on to another
Soon before you can tell
You will be singing aloud
And you'll reach for the wall
And I know you'll be back again
But I am alone till then
No one can understand
I've done a foolish thing
And carry a need to remind you of the terrible state I'm in
Till you come home
Till you come home"
soft;;Calm and Peaceful;Positive Sentiments;"Shine
So fragile
Shine
With such kindness
Soft regardless
Laugh
So truthfully
All known me
You hide
But I'm on your side
I'm on your side
Breathe on
Cruise on
Such lies
Such fear
Stand up
All on fire
Return
Desire
Shine
So fragile
Don't hide
'Cause I'm on your side
I'm on your side
Breathe on
Move on
Such lies
Such fear
So close
We are
But us
Not far
Chill those cries
On fire
Desire
Jesus Christ's on fire
I'll see you in my sky
I'll see you in my sky
I'll see you in my sky
Unchart but faded stars
We are
Unchart but faded stars
We are
If I could glow right now
So far
If I could glow right now
So far
Unchart but faded stars
We are
Unchart but faded stars
We are
Unchart but faded stars
We are
Unchart but faded stars
We are"
eerie;Dark/Negative;;Negative Sentiments;"
Katrinah Josephina is no longer, so they say
She disappeared one year ago and not a trace remains
All the theories are just hearsay as to why she disappeared
Some say she was abducted, and some say she drowned in fear
And what a joy it is to be the only one who knows
Katrinah Josephina journeys ninety leagues below

She's singing the praises of angels and sages
Oh, when the pills wear off, the symptoms will return
You may have found relief the cause has still yet to be learned

As a child, she was quite mystified in searching for the soul
With spade in hand, she soon began to dig a little hole
At one league and fifteen years, she ventured down her tunneled plight
And was greeted by a troupe of dancing demons stanced to fight
Each demon bid her, ""Say our names, as our names you should know
Until such time your chains will bind us, follow where you go""
And what a joy it is to be the only one who knows
Katrinah Josephina soon identified her foe

Yes, she's still singing the praises of angels and sages
Oh, when the pills wear off, the demons will return
Unless you're brave enough to face the ruler of their world

After years upon the surface higher, learning taught her well
The value of the human soul's a dollar earned in hell
So one year ago upon this night
She dragged me to her hole
Her waist was roped
""Don't dare let go!""
Her voice resounded from below

Keep singing the praises of angels and sages
'Cause when the pills wear off-"
driving;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"
I know I should wake up in the morning
But I'm in bed till two
Heat fogs up the window, summer's over
No longer, can we rendez-vous

Weeds have grown over our camp site
I know cause I sleep there every night
Without you

I helped you pack your station wagon, saw you off back to Seattle
You said it'd break his heart if he finds out
But girl he's gonna find out, what love is about
Oh yeah

Weeds have grown over our camp site
I know cause I sleep there every night without you
Without you

I know our love is over
Unless you come over (unless you come over)
Make it right (unless you come over)
Oh baby, come over

I saw your sister at the market
She said you were back in town for awhile
She could tell by my face, I didn't know that
She took my hand and said ""Boy, I could make you smile.""

Weeds have grown over our camp site
I know cause I slept there just last night without you
Without you

I know our love is over
Unless you come over (unless you come over)
Make it right (unless you come over)

Unless you come over (unless you come over)
Stay the night, oh baby come over (stay)"
cold;Dark/Negative;;Negative Sentiments;"
Love your hate, your faith lost
You are now one of us
Love your hate, your faith lost
You are now one of us

Nothing from nowhere, I'm no one at all
Radiate, recognize one silent call
As we all form one dark flame
Incinerate

Nothing from nowhere, I'm no one at all
Radiate, recognize one silent call
As we all form one dark flame
As we all form one dark flame
As we all

Love your hate, your faith lost
You are now one of us
Love your hate, your faith lost
You are now one
One of us"
intense;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"
I turn the music down
And I don't know why, this is my house
I turn the music down
And I don't know why, this is my house

The best friend on the payroll
No, no, no, it's not gonna work out
It's not gonna work out
No, no, no
The best friend on the payroll
Oh, no, no, no, it's not gonna work out
It's not gonna work out

More breakfast in bed, and I'll bring the paper in later

The best friend on the payroll
Oh, no, no, no, it's not gonna work out
It's not gonna work out
No, no, no
The best friend on the payroll
Oh, no, no, no, it's not gonna work out
It's not gonna work out
More breakfast in bed, and I'll bring the paper in later

The best friend on the payroll
No, no, no, it's not gonna work out
It's not gonna work out
No, no, no, no
The best friend on the payroll
No, no, no, it's not gonna work out
It's not gonna work out"
light;;;Calm and Peaceful;"Whoa, whoa
You fill my heart with singing
Whoa, whoa
I live to lift your name
Whoa, whoa
You'll hear the praises ringing
All for you
Jesus, you're my savior
There is no one else like you
You have all my heart
All my heart
I will sing forever
I am so in love with you
You have all my heart
Whoa, whoa
Your glory reigns forever
Whoa, whoa
We live to lift your name
Whoa, whoa
Our voices one together
All for you
All for you
Jesus, you're my savior
There is no one else like you
You have all my heart
All my heart
I will sing forever
I am so in love with you
You have all my heart
Let the songs of freedom
Rise in all the earth
Until everyone has heard
Whoa, whoa
Our voices one together
Whoa, whoa
Jesus, you're my savior
There is no one else like you
You have all my heart
All my heart
I will sing forever
I am so in love with you
You have all my heart
Whoa, whoa
You fill my heart with singing (All my heart)
Whoa, whoa
I live to lift your name
Whoa, whoa
You'll hear the praises ringing (All my heart)
Whoa, whoa"
epic;Quirky/Unconventional;;Energetic and Exciting;"I saddled up my pony right
And rode into the ghostly night
It was wide, wide open, wide, wide open
I left the only home I knew
I stayed alive and I found you
Now I take you where the water's deep
And make the air you breathe so sweet
But is it not enough to be complete? Please?
Let me give you everything you need, please?
We found a way, we found a street
Directions sweat under the sheets
And I let you have it, let you have it
But it can be a lonely place
Desire comes, desire fades
There's a bright one caught your fancy eye
It's okay so long as you stay mine
And I'm so number one that it's a shame, a shame
That you let other numbers in the game
Now I suffer for your hungry eye
Oh why must it see more than mine?
It's a light you're after, 'cause light moves faster
But when I ride again into the night
My torch will shoot flames strong and bright
And my absence will remind you of
How tough it is to be in love
And it's not what I think it's what you say, hey
And it works great for you to have your way, hey
But if the west can be a desperate place
You search all day for just a taste
Of the cold, cold water, cold, cold water
And if you think i've gone too long
Listen the sky will sing this song
As it burns up all the memories
That flow like water out of me"
soft;;Calm and Peaceful;Positive Sentiments;"I know you have no place left to go
I'm your last escape
So I've been told
You get paranoid
Drinking on your own
I've been replaced by you before
I'm just another corpse along your road
No regretful eyes
Can win my sympathy this time
Halo, halo above your head today
Saying you're a changed man now
Halo, halo
Above your head today
Feels like sand in my eye
Giving every promise bitter ends
Disappointment walks with you my friend
And I am not the only one you hurt
A dozen times or more
Regretful eyes can't win my sympathy this time
Halo, halo
Above your head today
Saying you're a changed man now
Halo, halo above your head today
Feels like sand in my eye"
poignant;Pensive/Emotional;;;"(Incoherent whispering might include ""are you ready?"" and ""out of fashion"")
If only there was time to say it all
I'd say it all
If only every sound that I made said it all
Oh…
Distant
Warning
Contact
Warning
Out of control
Wake up from your sleep
It's not a dream
It's not a dream
Everything is here on a breeze
It's good for me
Now…
Distant
Warning
Contact
Warning
Out of control"
whimsical;Positive/Uplifting;Humor and Playfulness;Complex and Mysterious;"I bruise like a peach
I mumble when I speak
I'm in the gutter
Looking at the stars
I've always been in love with you
I look tough enough
But if you hold me up to the light
You can see my broken heart
I've always been in love with you
They're just paper cuts
I'll Sellotape them up
And bandage them with cotton wool and glue
Paper cuts
I shouldn't beat myself up
Over little things the way I do
Nothing stays the same
I wish I could remain the colour
Of the cherry blossom tree
I've always been in love with you
I always used to leave before I went to sleep
But now I just pass out watching TV
I've always been in love with you
They're just paper cuts
I'll Sellotape them up
And bandage them
With cotton wool and glue
They're just paper cuts
I shouldn't beat myself up
Over little things the way I do
Just be careful when you shine
Because if you throw a light
On something magical
It disappears
Paper cuts
I'll Sellotape them up
And bandage them
With cotton wool and glue
They're just paper cuts
I shouldn't beat myself up
Over little things the way I do
I bruise like a peach
I mumble when I speak
I'm in the gutter
Lookin at my scars
I've always been in love with"
relaxed;;Positive Emotions;Positive Sentiments;"Well I rush out blazin'
My pulse is racin'
As the rain streams down my face
There's no turning back now
To fight with fate
Outnumbered, out of place
They said go west young man, that's best
It's there you'll feel no pain
Bel-Air's okay if you dig the grave
But I want to live again
Can't let go
There's a madness in my soul tonight
Can't let go
Must ride like the storm
Can't let go
Will I run out of control tonight
Can't let go
Until every trace is gone
It's a winding road from Cuesta way
Down sunset to the beach
Though Canoga Park is a straight safe drive
It's too far outta reach
But now the headlights are flashin'by so fast
All directions seems the same
And the windscreen wipers keep a beat repeatin'
You can't let go again
What's in a name on the street tonight
I'm only a face in the crowd
All in the dark and afraid tonight
Nowhere to run or to hide
But I can't let go
Sometimes the world outside'll take you in
With just a smile
And you so blinded with desire
A hundred sleepless nights have left me
Wasted and so cold
But I can take it I'm hangin'on
Can't let go
There's a madness in my soul tonight
Can't let go
Must ride it like the storm
Can't let go
Will I run out of control tonight
Can't let go
Until every trace is gone"
sleazy;;;Negative Sentiments;"Sister, your time has come
Got to lay it down
Got to get things done
But you're looking so hard
And you just can't see
Trying so hard
And you're dragging on me
I'll tell you something, baby
I'll tell you what I know
It's, oh, so cold, do what you're told
And it's hard when they're telling you no
I said, it's, oh, so cold, do what you're told
With all the lies that they hold
Inside their hands
Mother, got to lay it down
To be number one
On this side of town
But, you're looking so hard
You just can't see
Trying so hard
That you're dragging on me
I'll tell you something, baby
I'll tell what I know
It's, oh, so cold, do what you're told
And it's hard when they're telling you no
I said, it's, oh, so cold, do what you're told
With all the lies that they hold
Inside their hands
I said, it's, oh, so cold, do what you're told
And it's hard when they're telling you no
I said, it's, oh, so cold, do what you're told
With all the lies that they hold
Inside their hands
Stop those lies
Just don't see
Well, stop your lies
Get away from me
So stop!
Ooh, well, it's, oh, so cold, do what you're told
And it's hard when they're telling you no
I said, it's, oh, so cold, do what you're told
With all the lies that they hold in those hands
I said, it's, oh, so cold, do what you're told
And it's hard when they're telling you no
I said, it's, oh, so cold, do what you're told
With all the lies that they hold
Inside their hands, ow!
Stop your lies
Just stop your lies
Stop those lies
So stop!"
soft;;Calm and Peaceful;Positive Sentiments;"
Clean heart
Clean and sharp
Clean dream
Bad start

He loved his brother and his sister
Luke and Tony called him mister
They made him feel much more like a man
He loved his daddy though he never told him
And how he loved his mama
He loved, he loved, loved, loved her like an Italian

Little Janet said you look so fine
So fine
But something in his smile
Made them feel like strangers
And then he straightened his belt
With a lover's touch
And he said I'm gonna bring home
The things that are out of your clutch

Ooh, seemed like the hottest night in summer
A heat that makes you feel like dying
Somewhere in the next block
There was a baby crying
Finger on the trigger for the years to come
Finger on the trigger for the years to come

And as the moon slid up over the restless streets
Sirens mocking, people stop to see
Ooh, their greedy eyes don't realize
He's someone's son
Finger on the trigger for the years to come
Finger on the trigger for the years to come"
bittersweet;Pensive/Emotional;;Complex and Mysterious;"They had a white face
They had black eyes
They had burns all over their bodies
They had love for my revulsion
And they kissed away my repulsion
They had a white face
And black eyes
The father came
From across the sea
To rescue, rescue
To rescue me
He said ""If you spend all your heart
On something that has died
You are not alive
And that can't be your life""
Love what you can
Love what you can 'til it dies
Then let it lie
Let it fly
Away
Love what you can
Love what you can 'til it dies
Then let it lie
Let it fly
Away
He had a white face
He had black eyes
He had burns all over his body
And he was right"
erotic;;;Energetic and Exciting;"I don't give a fuck about my bad reputation
Never catch me slipping, red cup solo sipping out the whip with your bitches
Don't give a fuck about opinions, that don't pay the bills
I'm just keeping it real
When you're out on the town I hope you're thinking of me
Sipping liquor out the bottle and smoking up on that tree
The moral of the story is: I just want you to see
That the opinions of others should never bother you or me
Get fucked, you wonder why nobody likes you but you hate on everything and have a negative outlook
Fuck that, I'm the product of your creation all your hate and negativity made me stronger
Hell yeah, nobody does it like we do it, having this much fun should be illegal
We're taking over this bitch, join or die up in this bitch, straight villain till the death of me
Hate me, keep my name in your mouth I'll keep my dick in your mother while you're staring at each other
Hate me, you keep on paying my bills, I'm living just for the thrills, you keep on popping your pills
Living it up is just an understatement yeah were living large what what motherfuck a slut
So fuck whatever you heard
You'll never understand
That all your negativity won't get you shit
You're so blind and stupid
Just keep on doing you and I won't give a fuck"
bright;Positive/Uplifting;Positive Emotions;Positive Sentiments;"Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Well, you don't love me, baby
You don't love me, I know
You been takin'
Takin' all my money and my clothes
You been takin'
All my money and my clothes
Well, you told some of your friends
That you was gon' to send me outdoors
Please don't leave me
Please don't never, never, go
Please don't leave me
Please don't never, never, go
Well, I'll lose my mind
Go stone crazy, yes, I know"
stylish;Quirky/Unconventional;;Positive Sentiments;"I know its raining baby
I am stripped of all my pride
I stand here at your door
Sick of all the lies
Let me come inside
I couldn't see myself
The room was
Filled with signs
A strange woman kissed me
A tattoo in her eyes
Forget about the past
Forget about the guilt
I am going back to the house
That love built
I need to remember
What I came here for
Love or mercy keeps me at your door
Let me come inside
Nowhere to go
No way to tell
If I am nearer to heaven
Or one step closer to hell"
sleazy;;;Negative Sentiments;"Is it a tender love, is it secure
Is he a rich boy, or is he poor
Don't see no diamond ring on her hand
Is he a stray cat, is he a man
Is it sour, is it sweet
Can't ya, can't ya get that boy off the street
Is it half, is it whole
Mama, mama nice guys don't rock and roll
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice
Cinderella
Nursery rhyme
You might never get to school on time
Raise you glass
Raise some hell
Get you slippers when the clock strikes twelve
Have your cake, eat it too
Let me show ya what a fella can do, can do to you
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice
I guess I got bad manners
But I don't carry a gun
Forget your moral standards
Just trying to have a little fun
Won't be your Romeo, shining knight
You can tippy toe but look out tonight
You leave your mom a note, like you should
Oh - sometimes a bad boy feels so good
Yeah
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice
Well you're nice on ice"
aggressive;HighEnergy/Intensity;Negative Emotions;Negative Sentiments;"Warfare, a promise to eliminate mankind
The planet as we know it, taken by demented minds
Warheads produced to exterminate the earth
This sacrifice will lead us to our death, no rebirth
No one has the power to declare this world to die
Voting and electing the right to crucify
Times of turmoil have decided what to do
No need for common knowledge, we're through
World explosion
Mass obliteration
...of a race
Forced to live here day by day through day by day
We dread the fear of living in the afterworld spirits of the
Dead
Thoughts of nuclear holocaust that drive our world insane
Women and children forced and left to kill
Through daily hibernation, manage to survive
Sifting through, they must be found, extinction we provide

Purify - the unholy land
Extinction - the so called master race
Crucify - the preachers of this hate
Liquify - the minds of those they create"
bittersweet;Pensive/Emotional;;Complex and Mysterious;"Sit up straight
With your head held high
Start your day
With a random act of kind
Don't forget
To brush your teth before you rest
And remember to take two blue
Now goodnight
It's your life
It's your life
Yours to do with what you choose to keep in stride
Heard you say
You're not feeling fine
Why not have
Some more of that nutritious wine
Doctors say
Take two more blue and you'll be okay
See, now don't you feel lovely?
Now goodnight
It's your life
It's your life
Yours to do with what you choose to keep in stride"
negative;;;Negative Sentiments;"Growing worms fester in recreation
A true living abomination
Crawling with worthlessness
So fucking frail and weak
To eradicate them all
The cacoon must be destroyed
Excretion of spewing cells
Harvest within the nest
Slithering in slime aimlessly
Until more have exiled
Feasting through every sense of understanding
They hunger evermore in search of..

And so they remain plagues of our time
An army of maggots
Inferior maggots
Inferior maggots
Replicating and devouring
In the heart of filth"
whimsical;Positive/Uplifting;Humor and Playfulness;Complex and Mysterious;"there was an american
went forth every day
searching
for the author inside
and the truth outside
he first sought the protection of sleep
the protection of sheep
and a wilderness of mirrors
but what he found was incomplete
he then sought the comfort of highest text
but found only the auction of human minds
and the perversion of divine aid
he then sought to sing the body electric
and he did so eloquently
but alas, the song was no helpful piece
he then examined the corridors
of a wasteland,
believing even the poorest experiences
rich enough for the purposes
and the obscene also illustrious,
yet nothing remarkable was there
then he made way to the pulpit
because his was a heavy soul
in need of cleansing
but the masses heard him not
in fact, some say they weren’t even present
in final desperation
he decided to stop for death
but death was unable to stop for him
since he was fed with the finest
of the wheat and with honey out of the rock
thus spared, he lived on
though whether for a lifetime or a second
he knew not
since all was black….
neurons rushed madly by,
crushing order in their path
and it was then that he knew
all of it as truth.
the key was in telling:
always slant the speech
because the universe is too much."
stylish;Quirky/Unconventional;;Positive Sentiments;"
Ain't it funny
How we pretend we're still a child
Softly stolen
Under our blanket skies

And rescue me from me
And all that I believe

I won't deny the pain
I won't deny the change
And should I fall from grace, here with you
Will you leave me too?

Carve out your heart
For keeps in an old oak tree
And hold me for goodbyes
And whispered lullabyes

And tell me I am still
The man I'm supposed to be

I won't deny the pain
I won't deny the change
And should I fall from grace, here with you
Will you leave me too? Will you leave me too?
Too late to turn back now, I'm runnin' out of sound
And I am changin', changin'
And if we died right now, this fool you love somehow
Is here with you

I won't deny the pain
I won't deny the change
And should I fall from grace, here with you
Would you leave me too? Would you leave me too?"
dreamy;;Calm and Peaceful;Positive Sentiments;"
Invite your sister
Into the garden
All cannot play
Fistful of wildflowers
Handpicked by someone
Who nearly fell
(Ahhh, Ahhh)

Friend, foe, or feather
If we row to get there
I'll give my gift to you
In all kinds of weather
If not now, not ever
Please do not go

Hands over your eyes
In all of your sighs
Is it the right time
For the game we play?
In all kinds of weather
If not now, not ever
This is the right time
For a holiday
(La, la, la, la)

You came to me
In my dreams
And you spoke of everything
Of sweet remedies and diamond rings
Holy worlds dig early beds
(La, la, la, la)"
gloomy;Dark/Negative;;Negative Sentiments;"Imperator rex Graecorum
Minas spernens paganorum
Auro sumpto thesaurorum
Parat sumptus armatorum
Ayos o theos athanathos
Ysma sather yskyros!
Miserere kyrios
Salva tuos famulos!
Almaricus miles fortis
Rex communis nostre sortis
In Egypto fractis portis
Turcos siravit dire mortis
Ayos o theos...
Omnis ergo Christianus
Ad Egyptum tendat manus!
Semper ibi degat sanus
Destruatur rex paganus!
Ayos o theos..."
relaxed;;Positive Emotions;Positive Sentiments;"Why are all the good things gone?
Like Louis Armstrong
Buddy Holly, Billie Holiday
Those old record sleeves seem to say
That everything beautiful in this world must fade away
Humming old Brian Wilson songs
Summer nights used to last so long
Sitting out on the Dock of the Bay
With Otis Redding
I walk down the same old streets
It's like 20 years ago
It's like 20 days from now
When I forget everything I know
Can you promise me forever?
Can you promise me forever?
Forever, what does that mean?
Forever and ever, I want just one more night together with you
Forever and ever, I want just one more night together with you
Can you promise me forever?
Can you promise me forever?
Forever, ehat does that mean?"
soothing;;Calm and Peaceful;Positive Sentiments;"Give to the world a bit of hominy, hominy
Hominy, hominy grits
And it will butter all yer troubles away
You know it pleases me to serve you
Breakfast in the morning
Hot off the cradle
You were fine and able
My momma sent me from the penitentiary
She stole the keys from the warden of the century
The century
Give to the world a bit of hominy, hominy
Hominy, hominy grits!
And it will butter all yer troubles away
You know it pleases me to unnerve you
With my ukulele
I got a lover, he's my little baby
I nurse him at the table
'Cause he says he's feeble
And take him down at sundown
In my little rundown limousine
My limousine"
melancholy;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
When you walk without ease
On these streets where you were raised
I had a really bad dream
It lasted twenty years, seven months
And twenty-seven days, and I know

I know that I never, ever, oh, weh, woah
Had no one ever

Now I'm outside your house, I'm alone
And I'm outside your house
I hate to intrude, oh, alone, I'm alone
I'm alone, I'm alone, I'm alone, I'm alone

And I never, never, oh, woah, woah
Had no one ever
I never had no one ever
I never had no, no one ever
Had no one ever, never
No
"
driving;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"Let's count the days until winter comes our way
We're all tired and ready to breathe
And there's a rumor that
There's a bitter cold chill in the air
It's haunting every breath we take
The hint of alcohol and nicotine it keeps us warm inside
So all your fashion sense aware, the sweaters unfold themselves
We are all alone, but we're better off by ourselves
It's time to roll the windows down and
Feel the cold air all around
We are heading out of town and
Not a thing can stop us now
Get carried away
Let's think about all those nights on Luckie St
We stayed up til 3 am, with all the gossip and the latest girls
There's a bitter cold chill in the air
It's haunting every breath we take
The hint of alcohol and nicotine it keeps us warm inside
So all your fashion sense aware, the sweaters unfold themselves
We are all alone, but we're better off by ourselves
It's time to roll the windows down and
Feel the cold air all around
We are heading out of town and
Not a thing can stop us now
Get carried away
This winter is much like all the rest
This season's changed since we've been away
This winter is much like all the rest
It's time to roll the windows down and
Feel the cold air all around
We are heading out of town and
Not a thing can stop us now
Get carried away"
silly;;Humor and Playfulness;Energetic and Exciting;"
I've got ninety thousand pounds in my pajamas
I've got forty thousand French francs in my fridge
I've got lots and lots of lira
Now the Deutsche Mark's getting dearer
And my dollar bills would buy the Brooklyn Bridge

There is nothing quite as wonderful as money!
There is nothing quite as beautiful as cash!
Some people say it's folly, but I'd rather have the lolly
With money, you can make a smash!
There is nothing quite as wonderful as money, money, money, money!
There is nothing like a newly minted pound! (Money, money, money)
Everyone must hanker for the butchness of a banker
It's accountancy that makes the world go round, round, round, round! (Ah, ah, ah)
You can keep your Marxist ways, for it's only just a phase
Money, money, money makes the world go round!

Money! Money! Money! Money! Money! Money! Money! Money! Money!"
bittersweet;Pensive/Emotional;;Complex and Mysterious;"
I sat next to you at lunch
You had your back turned
Reading your magazine
I didn't want to interrupt
You looked so peaceful
In your own company

Funny how we remember things
How we hold on to the good
But throw out the bad stuff
What happened to us?

I was never ready for your love
No, I'm no child but I don't feel grown up
I was never ready, it was never meant to be
So tell me how come I still feel so messed up

You were somebody to me once
But now you're a fiction
Someone that I made up
Turns out it was too much for us
And if we met in five years
Would we notice?

Funny how we remember things
How we hold on to the good
But throw out the bad stuff
What happened to us?

I was never ready for your love
No, I'm no child but I don't feel grown up
I was never ready, it was never meant to be
So tell me how come I still feel so messed up
I was never ready for your love
No, I'm no child but I don't feel grown up
I was never ready, it was never meant to be
So tell me how come I still feel so messed up
I was never ready for your love
No, I'm no child but I don't feel grown up
I was never ready, it was never meant to be
So tell me how come I still feel so messed up

I was never ready, I was never ready
Never meant to be
I was never ready, I was never ready
Never meant to be"
brooding;Dark/Negative;Negative Emotions;Negative Sentiments;"The stars above shine down below
The fever you hold on this night, deathly cold
He can feel from his side of the door
He could feel Eleanor
He said, sun don't rise
He said, sun don't shine
He said, don't bring tomorrow
To justify tonight
The moon is full and the stars are bright
And the sky is a poisonous garden tonight
Sip your tequila, give me some time
To unlearn all I've learned, for the spring to unwind
And then came his sweet gentle mouth
I began to move mine
They knew with the dawn, they knew with the day
They knew what they had would be young naked prey
And attacked from all sides by a world
Full of poison and hate
Out of this world
Out of this time
Out of control
They were out of their minds
The moon is full and the stars are bright
And the sky is a poisonous garden tonight
Eleanor trembles, Eleanor moans
Somehow, this body is someone she always has known
She cries tears on his chest
Oh so silent and slow
She said please don't go
(Please don't go)
He said please don't go
(Please don't go)
And she sighed and she died in his arms
And he cried, ""Nevermore""
The moon is full and the stars are bright
And the sky is a poisonous garden tonight
The sky is a poisonous garden tonight
The sky is a poisonous garden tonight
The sky is a poisonous garden tonight"
nostalgic;;Positive Emotions;Positive Sentiments;"
Walter, remember when the world was young
And all the girls knew Walter's name?
Walter, isn't it a shame the way
Our little world has changed?
Do you remember, Walter
Playing cricket in the thunder and the rain?
Do you remember, Walter
Smoking cigarettes behind your garden gate?
Yes, Walter was my mate
But Walter, my old friend, where are you now?

Walter's name, Walter
Isn't it a shame the way our little world has changed?
Do you remember, Walter
How we said we'd fight the world so we'd be free?
We'd save up all our money
And we'd buy a boat and sail away to sea
But it was not to be
I knew you then, but do I know you now?

Walter, you are just an echo of a world
I knew so long ago
Walter, if you saw me now
You wouldn't even know my name
I bet you're fat and married
And you're always home in bed by half-past eight
And if I talked about the old times
You'd get bored and you'd have nothing more to say

Yes, people often change
But memories of people can remain"
energetic;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"
I gotta lose weight
I, I swallow honey
Is my stand up show
Still, still, still that funny?
Am I back for good?
I said that I
Said that I would be
She's down waist low
Trying to make me happy
Because I like watching you

It's time I tried, gotta check my
Check my eyelids
Check for holes
It's time I tried, gotta check my
Check my eyelids
Check for holes

Two weeks late
I, I, I gotta test for babies
Shop take is falling low
I'm not going back
Back to the factories
Because I like what I do

It's time I tried to check my
Check my eyelids
Check for holes
It's time I tried to check my
Check my eyelids
Check for holes

It's time I tried to check my
Check my eyelids
Check for holes
It's time I tried to check my
Check my eyelids
Check for holes

It's time I tried
It's time I tried
It's time I tried
It's time I tried
It's time I tried
It's time I tried
It's time I tried to check my lids for holes"
light;;;Calm and Peaceful;"You're making this way to hard and pushing
Me way too far past my limit
You know this is new to me but I never
Thought I would be the only one to give it
Come on baby take what I'm giving, stop
Messing around
Quit bringing me down
You better take it while you can get it
Cause I won't hang around if you're
Holding me down
Something's not feeling right here, are we
Clear, you better shape up
This ain't about what you need so all this greed
Better be made up
Come on baby take what I'm giving, stop
Messing around
Quit bringing me down
You better take it while you can get it
Cause I won't hang around if you're
Holding me down
Don't want to be the one to regret it
When you hit the ground, I'm not holding you down
If you don't take it now then forget it
Stop messing around, quit bringing me down
I'm someone worth loving so why you shoving
Me out of the picture
So take this off my back and stop this damn
Attack and get it together"
